CharacterIdle_1,Assets/Textures/Character/CharacterTexture-Idle1.png
CharacterIdle_2,Assets/Textures/Character/CharacterTexture-Idle2.png
CharacterRunning_1,Assets/Textures/Character/CharacterTexture-Running1.png
CharacterRunning_2,Assets/Textures/Character/CharacterTexture-Running2.png
CharacterRunning_3,Assets/Textures/Character/CharacterTexture-Running3.png
CharacterJumping_1,Assets/Textures/Character/CharacterTexture-Jumping1.png
CharacterJumping_2,Assets/Textures/Character/CharacterTexture-Jumping2.png
CharacterHit,Assets/Textures/Character/CharacterTexture-Hit.png
Bridge,Assets/Textures/Environment/Bridge.png
Ground,Assets/Textures/Environment/Dirt_Block.png
EmptyBrownBlock,Assets/Textures/Environment/Empty_Brown_Block.png
Goal,Assets/Textures/Environment/Flag.png
Grass,Assets/Textures/Environment/Grass_Block.png
Platform,Assets/Textures/Environment/Platform.png
Spikes,Assets/Textures/Environment/Spikes.png
EnemyMoving_1,Assets/Textures/Enemy/EnemyMoving_1.png
EnemyMoving_2,Assets/Textures/Enemy/EnemyMoving_2.png
EnemyMoving_3,Assets/Textures/Enemy/EnemyMoving_3.png
EnemyMoving_4,Assets/Textures/Enemy/EnemyMoving_4.png
EnemyDead_1,Assets/Textures/Enemy/EnemyDead_1.png
Coin_1,Assets/Textures/Items/Coin_Item1.png
Coin_2,Assets/Textures/Items/Coin_Item2.png
Coin_3,Assets/Textures/Items/Coin_Item3.png
Coin_4,Assets/Textures/Items/Coin_Item4.png
